Comments ,Label
drinking pepsi out of a mongoloid skull pondering feminist issues,1
you are deranged old and whitetail why do you hate yourself it s okay to be white,1
same reason people want to use ethnic slurs same reason people want to say faggot so bad people want to do,1
hope she gets eaten by one stupid ugly bitch karma will get you in the end you evil no brained twat what does,1
after bantering about the leicester chopper crash this vagina posted then blocked sure sign of a,1
hilarious he does not want the competition but has no problem with illegal aliens taking the jobs of pri,1
laundry is a cunt everything is cunt,1
why do you tweet ching chong,1
my thing is that i am a faggot and hot,1
someone called me a ching chong bitch even though i live in the u s,1
i wish never laid eyes on the vagina in hoops ana,1
the helpers are losing the battle and soon the war our descent into a shithole country is gaining momentum,1
maybe but who lied about trump use of shithole countries and who,1
a retard happy face or smiley it means times,1
like no you fucking vagina i am doing damage so i can heal you because i ran out of biotic energy because,1
if your boyfriend is retarded guess what you are,1
simply copy and paste the following text into your youtube videos description boxes,0
in order to help increase the booklets downloads it would be great if all storefronts who had youtube accounts could display the following text in the description boxes of their uploaded youtube videos,0
as of the booklet had been downloaded over times and counting,0
click below for a free download of a colorfully illustrated page e book on the zionist engineered intentional destruction of western civilization,1
click on the download my bad green banner link,0
booklet updated on,0
now with over downloads,0
then why not simply copy this text links and paste it into the description box of your youtube videos,0
thank you in advance download the youtube description box info text file below hyper text transfer protocol www media fire com download booklet description box info text,0
she or not be a jew but she s certainly stupid she seems to think the blacks to and t kill her alongside every other white they can get their dirty hands on what a muppet,1
thank you for the info i will definitely look into them,0
i hope there is room for one more as i am very excited about this,0
i just came across this piece of garbage,0
comments say she is from sa,0
die atwood cookie thumped official video youtube,0
the whites are more in the range of million,0
i believe this can be higher since i ve read reports that especially whites in the free state were not counted in the latest census,0
thank you for posting your story,0
i think you should write a book as well,0
i ve always considered teaching as one of the professions i would like to get into but not in a neighborhood like that never kids like that disgust me,1
and the sad thing is the white students at those schools will act like that too,1
i guess i ll just stick to homeschooling my kids when and if i have them,0
randy black is an expert all right he teaches sociology of star trek a credited class student actually pay for,0
no wonder young people ca and t get jobs,0
they take underwater basket weaving courses and they have no worthwhile skills on account of angry still my favorite comment,0
old tarzan movies zulu and king kong have many such images,0
national geographic magazines in the s and early s are replete with color photos of african villagers,0
dr albert schweitzer s two hour documentary from what a slut shown in movie theaters everywhere,0
i think vhs tapes are available at amazon,0